Text,Label
shop phục_vụ rất kémko có đạo_đức nghề_nghiệp,0
sản_phẩm giống hình nhưng áo_rộng dài còn quần ngắn không ưng_ý laems,0
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn giao hàng rất nhanh,1
shop tư_vấn rất tốt,1
mình không nghĩ hàng chỉ còn hơn 1 tháng hsd mà tiki vẫn giao đến không đặc_biệt hàng dành cho trẻ_em làm_sao không_chỉ sử_dụng chai này hết trong 1 tháng,0
dat hang mau nay gui mau kia nhắn_tin thi khong tlaă,0
chất_lượng sản_phẩm rất kém thời_gian giao hàng rất chậm dịch_vụ nhìn_chung rất kém,0
sản_phẩm bị sử_dụng rồi mà vẫn giao,0
đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt giá_thành cũng rẻ chất_lượng thì chưa dùng nên chưa biết,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn giao hàng nhanh như chớp đặt size to quá nên nhờ shop gửi lại thì được trợ_giúp nhận được hàng rất hài_lòng thank shop,1
chất_lượng sản_phẩm rất kém lúc mới mua về cắm adapter rất lâu thì router mới lên nguồn sử_dụng được đúng 2 ngày thì cổng wan chết gọi số bảo_hành thì số không gọi được rất không đáng tiền,0
đóng_gói sản_phẩm rất đẹp và chắc_chắn tốt,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn và thời_gian giao hàng rất nhanh shop phục_vụ rất tốt,1
